,AUS,KHM,CHN,HKG,IDN,JPN,KOR,MAC,MYS,MNG,NZL,PNG,PHL,SGP,TWN,THA,VNM,BGD,IND,NPL,PAK,LKA,ARM,AZE,BLR,BIH,BGR,HRV,CZE,HUN,KAZ,MKD,MDA,POL,ROU,RUS,SRB,SVK,SVN,UKR,DNK,EST,FIN,ISL,LVA,LTU,NOR,SWE,AUT,BEL,FRA,DEU,IRL,LUX,NLD,CHE,GBR,CYP,GRC,ITA,PRT,ESP,TUR,DZA,BHR,EGY,IRN,ISR,JOR,KWT,LBN,LBY,MLT,MAR,OMN,QAT,SAU,TUN,ARE,AGO,BWA,CIV,GHA,KEN,MUS,MOZ,NAM,NGA,ZAF,TZA,UGA,ZMB,ZWE,CAN,MEX,USA,ARG,BHS,BOL,BRA,CHL,COL,DOM,ECU,JAM,PAN,PRY,PER,TTO,URY,VEN
KAZ,1.0,0.0,5.000000000000002,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.000000000000002,0.0,2.999999999999997,0.0,0.0,0.0,2.999999999999997,0.0,0.0,1.0,0.0,0.0,186.0000000000016,0.0,0.0,0.0,3.999999999999996,18.000000000000163,0.0,0.0,0.0,1.999999999999999,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.999999999999999,1.0,0.0,0.0,10.0,2.999999999999997,15.99999999999982,1.0,0.0,5.000000000000002,0.0,0.0,2.999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.000000000000002,0.0,13.000000000000098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.999999999999997,0.0,0.0,0.0,1.0,1.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.000000000000002,1.0,0.0,1.999999999999999,0.0,0.0,0.0,1.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POL,15.99999999999982,1.0,19.99999999999994,9.000000000000002,3.999999999999996,95.0000000000005,28.000000000000057,0.0,7.0000000000000036,0.0,1.999999999999999,0.0,1.0,11.000000000000126,2.999999999999997,7.0000000000000036,5.000000000000002,9.000000000000002,35.00000000000034,0.0,18.000000000000163,3.999999999999996,1.0,0.0,13.000000000000098,2.999999999999997,10.0,3.999999999999996,75.99999999999977,16.99999999999985,1.0,1.0,1.0,4728.000000000013,26.00000000000012,44.999999999999616,7.0000000000000036,13.000000000000098,3.999999999999996,19.99999999999994,41.00000000000041,2.999999999999997,26.00000000000012,2.999999999999997,5.000000000000002,39.99999999999979,28.000000000000057,82.99999999999925,41.00000000000041,41.99999999999994,247.0000000000023,315.99999999999716,15.99999999999982,30.999999999999808,84.99999999999946,58.99999999999943,153.00000000000048,9.000000000000002,29.999999999999826,68.00000000000057,7.0000000000000036,41.00000000000041,10.0,0.0,0.0,2.999999999999997,0.0,2.999999999999997,2.999999999999997,1.0,1.0,2.999999999999997,0.0,1.999999999999999,0.0,0.0,1.0,1.0,2.999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0000000000000036,0.0,0.0,0.0,0.0,29.999999999999826,7.0000000000000036,498.0000000000026,6.000000000000004,0.0,0.0,14.000000000000062,1.999999999999999,0.0,0.0,1.999999999999999,0.0,1.0,0.0,5.000000000000002,0.0,0.0,0.0
ROU,1.999999999999999,0.0,1.0,0.0,5.000000000000002,14.999999999999957,2.999999999999997,0.0,1.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.999999999999999,2.999999999999997,9.000000000000002,0.0,11.000000000000126,1.999999999999999,1.0,0.0,1.0,1.999999999999999,11.000000000000126,1.999999999999999,11.999999999999867,7.0000000000000036,3.999999999999996,0.0,6.000000000000004,11.000000000000126,546.0000000000034,6.000000000000004,1.999999999999999,1.999999999999999,1.0,2.999999999999997,5.000000000000002,0.0,5.000000000000002,0.0,1.0,0.0,1.0,5.000000000000002,14.999999999999957,6.000000000000004,45.99999999999958,32.0000000000003,0.0,3.999999999999996,27.000000000000167,14.000000000000062,28.000000000000057,1.999999999999999,22.999999999999844,36.99999999999958,1.999999999999999,8.000000000000007,13.000000000000098,0.0,0.0,0.0,0.0,5.000000000000002,2.999999999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.999999999999997,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.999999999999996,0.0,53.00000000000012,1.0,0.0,1.0,3.999999999999996,1.999999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
RUS,9.000000000000002,0.0,73.00000000000067,13.000000000000098,8.000000000000007,73.00000000000067,45.99999999999958,0.0,5.000000000000002,6.000000000000004,1.999999999999999,0.0,3.999999999999996,14.999999999999957,13.000000000000098,2.999999999999997,21.000000000000036,7.0000000000000036,48.00000000000031,1.0,15.99999999999982,3.999999999999996,22.00000000000019,10.0,51.00000000000043,0.0,11.000000000000126,6.000000000000004,18.000000000000163,5.000000000000002,36.00000000000022,0.0,24.000000000000217,29.000000000000266,10.0,2875.000000000006,7.0000000000000036,7.0000000000000036,1.0,84.99999999999946,9.000000000000002,1.999999999999999,26.00000000000012,0.0,7.0000000000000036,14.999999999999957,19.99999999999994,30.999999999999808,16.99999999999985,13.000000000000098,87.0000000000003,97.9999999999989,7.0000000000000036,18.000000000000163,58.99999999999943,58.00000000000036,123.00000000000054,22.999999999999844,11.000000000000126,44.999999999999616,1.999999999999999,5.000000000000002,21.000000000000036,1.999999999999999,1.0,5.000000000000002,5.000000000000002,8.000000000000007,0.0,2.999999999999997,3.999999999999996,1.0,0.0,1.999999999999999,1.999999999999999,0.0,6.000000000000004,1.0,6.000000000000004,1.0,1.999999999999999,1.0,1.0,0.0,0.0,0.0,0.0,1.999999999999999,9.000000000000002,1.999999999999999,0.0,0.0,0.0,29.000000000000266,6.000000000000004,316.9999999999988,3.999999999999996,1.0,0.0,5.000000000000002,3.999999999999996,1.999999999999999,0.0,1.0,0.0,0.0,0.0,1.999999999999999,1.0,0.0,5.000000000000002
SRB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.000000000000004,1.0,0.0,0.0,0.0,1.999999999999999,0.0,3.999999999999996,0.0,1.999999999999999,1.0,0.0,0.0,2.999999999999997,1.0,3.999999999999996,96.99999999999893,0.0,2.999999999999997,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.999999999999996,0.0,3.999999999999996,3.999999999999996,0.0,0.0,1.999999999999999,1.999999999999999,2.999999999999997,1.0,2.999999999999997,5.000000000000002,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.000000000000007,1.999999999999999,0.0,0.0,6.000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.999999999999997,0.0,3.999999999999996,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.999999999999997,0.0,0.0,0.0
SVK,0.0,0.0,1.999999999999999,0.0,1.0,1.0,8.000000000000007,0.0,1.0,0.0,0.0,0.0,0.0,1.999999999999999,0.0,1.0,1.999999999999999,2.999999999999997,2.999999999999997,0.0,5.000000000000002,0.0,0.0,0.0,2.999999999999997,0.0,0.0,1.0,127.0000000000009,11.000000000000126,0.0,0.0,2.999999999999997,21.000000000000036,8.000000000000007,6.000000000000004,0.0,141.00000000000009,0.0,1.999999999999999,2.999999999999997,0.0,1.999999999999999,0.0,3.999999999999996,1.999999999999999,1.999999999999999,1.0,2.999999999999997,0.0,10.0,48.999999999999595,1.0,1.0,5.000000000000002,5.000000000000002,7.0000000000000036,1.999999999999999,1.0,1.999999999999999,0.0,0.0,2.999999999999997,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.999999999999999,1.0,0.0,0.0,0.0,0.0,1.0,0.0,26.00000000000012,0.0,0.0,0.0,2.999999999999997,1.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SVN,2.999999999999997,0.0,0.0,1.999999999999999,1.999999999999999,7.0000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.999999999999999,0.0,1.0,3.999999999999996,1.999999999999999,0.0,5.000000000000002,1.0,0.0,0.0,1.999999999999999,7.0000000000000036,1.0,19.000000000000043,3.999999999999996,2.999999999999997,0.0,0.0,0.0,6.000000000000004,2.999999999999997,1.999999999999999,11.999999999999867,0.0,130.99999999999872,0.0,1.999999999999999,0.0,3.999999999999996,1.0,1.0,0.0,1.999999999999999,6.000000000000004,9.000000000000002,1.0,5.000000000000002,13.000000000000098,0.0,0.0,2.999999999999997,1.999999999999999,5.000000000000002,0.0,1.0,9.000000000000002,0.0,0.0,2.999999999999997,0.0,0.0,1.0,0.0,3.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.000000000000217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UKR,1.999999999999999,0.0,1.999999999999999,1.0,1.0,0.0,1.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.999999999999997,5.000000000000002,3.999999999999996,0.0,7.0000000000000036,1.0,2.999999999999997,0.0,7.0000000000000036,0.0,0.0,0.0,3.999999999999996,2.999999999999997,1.0,0.0,7.0000000000000036,5.000000000000002,1.999999999999999,51.00000000000043,0.0,1.0,0.0,229.00000000000114,3.999999999999996,1.999999999999999,0.0,0.0,0.0,1.0,2.999999999999997,2.999999999999997,3.999999999999996,2.999999999999997,3.999999999999996,5.000000000000002,1.0,7.0000000000000036,6.000000000000004,7.0000000000000036,11.000000000000126,1.999999999999999,3.999999999999996,8.000000000000007,0.0,2.999999999999997,5.000000000000002,2.999999999999997,0.0,1.999999999999999,1.0,3.999999999999996,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,19.99999999999994,0.0,0.0,0.0,1.999999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
