,Low income,Middle income,High income
Low income,8.285218235294525e-06,1.0313798660420597e-05,4.200792246359076e-06
Middle income,1.3244710660472791e-05,1.7585988597902676e-05,4.720093345532761e-06
High income,1.169382085604152e-05,1.55101829489209e-05,1.2066766357705429e-05
